"filename", "language", "JSON with Comments", "TypeScript", "PostCSS", "TypeScript JSX", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\usecases\companyServiceCrud.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\usecases\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\usecases\queries\getCompanyById.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\usecases\queries\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\usecases\queries\listCompanies.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\mappers\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\mappers\toCompanyDraft.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\mappers\toCompanyFormValue.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\mappers\toCompanyPatch.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\models\Company.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 6, 48
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\models\CompanyService.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\models\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\ports.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 9, 3, 37
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\index.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 5, 27
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\infra\http\CompanyHttpRepository.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 10, 74
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\infra\http\CompanyServiceHttpRepository.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 9, 80
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\infra\http\endpoints.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\infra\http\mappers.ts", "TypeScript", 0, 110, 0, 0, 0, 0, 0, 32, 142
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\infra\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\atoms\CompanyTypeBadge.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 5, 26
