"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\models\Company.ts", "TypeScript", 42, 0, 0, 0, 6, 48
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\models\CompanyService.ts", "TypeScript", 14, 0, 0, 0, 4, 18
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\models\index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\domain\ports.ts", "TypeScript", 25, 0, 0, 9, 3, 37
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\index.ts", "TypeScript", 18, 0, 0, 4, 5, 27
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\infra\http\CompanyHttpRepository.ts", "TypeScript", 64, 0, 0, 0, 10, 74
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\infra\http\CompanyServiceHttpRepository.ts", "TypeScript", 71, 0, 0, 0, 9, 80
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\infra\http\endpoints.ts", "TypeScript", 10, 0, 0, 0, 4, 14
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\infra\http\mappers.ts", "TypeScript", 110, 0, 0, 0, 32, 142
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\infra\index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\atoms\CompanyTypeBadge.tsx", "TypeScript JSX", 0, 0, 21, 0, 5, 26
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\atoms\ServiceBadge.tsx", "TypeScript JSX", 0, 0, 21, 0, 4, 25
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\atoms\index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\helpers\companyFormHelpers.ts", "TypeScript", 57, 0, 0, 17, 9, 83
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\helpers\index.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\index.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompaniesPageLogic.ts", "TypeScript", 160, 0, 0, 24, 25, 209
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompaniesTableColumns.tsx", "TypeScript JSX", 0, 0, 103, 0, 4, 107
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompaniesTableLogic.ts", "TypeScript", 163, 0, 0, 0, 16, 179
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyContactModal.ts", "TypeScript", 50, 0, 0, 4, 9, 63
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyCreateModal.ts", "TypeScript", 69, 0, 0, 4, 11, 84
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyEditModal.ts", "TypeScript", 78, 0, 0, 5, 9, 92
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyModal.ts", "TypeScript", 56, 0, 0, 0, 8, 64
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyModalSection.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyMutations.ts", "TypeScript", 72, 0, 0, 0, 6, 78
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyServiceContextMenu.ts", "TypeScript", 66, 0, 0, 0, 8, 74
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyServices.ts", "TypeScript", 43, 0, 0, 4, 7, 54
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCreateCompanyController.ts", "TypeScript", 73, 0, 0, 0, 15, 88
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useDeleteCompanyController.ts", "TypeScript", 41, 0, 0, 0, 10, 51
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useInstantCompanies.ts", "TypeScript", 45, 0, 0, 4, 8, 57
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useManageServices.ts", "TypeScript", 155, 0, 0, 0, 20, 175
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useManageServicesModal.ts", "TypeScript", 15, 0, 0, 3, 5, 23
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useUpdateCompanyController.ts", "TypeScript", 51, 0, 0, 0, 7, 58
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\index.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\CompaniesPageActions.tsx", "TypeScript JSX", 0, 0, 22, 0, 3, 25
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\CompaniesToolbar.tsx", "TypeScript JSX", 0, 0, 71, 0, 7, 78
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\CompanyForm.tsx", "TypeScript JSX", 0, 0, 94, 0, 11, 105
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\EmptyCompaniesState.tsx", "TypeScript JSX", 0, 0, 17, 0, 3, 20
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\ErrorAlert.tsx", "TypeScript JSX", 0, 0, 15, 0, 3, 18
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\ServiceFormView.tsx", "TypeScript JSX", 0, 0, 44, 0, 4, 48
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\ServicesListView.tsx", "TypeScript JSX", 0, 0, 85, 0, 4, 89
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\CompanyBasicFields.tsx", "TypeScript JSX", 0, 0, 39, 0, 3, 42
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\CompanyCheckboxField.tsx", "TypeScript JSX", 0, 0, 23, 0, 3, 26
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\CompanyContactsSelector.tsx", "TypeScript JSX", 0, 0, 115, 0, 9, 124
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\CompanyTypeFields.tsx", "TypeScript JSX", 0, 0, 49, 0, 3, 52
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\companyTypeOptions.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\index.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\useCompanyFormHandlers.ts", "TypeScript", 53, 0, 0, 0, 9, 62
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\index.ts", "TypeScript", 10, 0, 0, 0, 1, 11
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\organisms\CompaniesTable.tsx", "TypeScript JSX", 0, 0, 93, 0, 10, 103
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\organisms\CompaniesTableSkeleton.tsx", "TypeScript JSX", 0, 0, 49, 0, 4, 53
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\organisms\CompanyModal.tsx", "TypeScript JSX", 0, 0, 67, 0, 3, 70
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\organisms\ManageServicesModal.tsx", "TypeScript JSX", 0, 0, 119, 0, 8, 127
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\organisms\index.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\pages\CompaniesPage.tsx", "TypeScript JSX", 0, 0, 7, 16, 4, 27
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\pages\CompaniesPageView.tsx", "TypeScript JSX", 0, 0, 151, 8, 8, 167
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\pages\index.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\context.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\index.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\keys\contactsKeys.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\commands\createContact.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\commands\deleteContact.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\commands\index.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\commands\patchContact.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\queries\getContactById.ts", "TypeScript", 15, 0, 0, 0, 2, 17
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\queries\index.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\queries\listContacts.ts", "TypeScript", 5, 0, 0, 0, 2, 7
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\queries\validateContactUniqueness.ts", "TypeScript", 15, 0, 0, 0, 2, 17
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\ContactRole.ts", "TypeScript", 118, 0, 0, 22, 23, 163
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\index.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\mappers\index.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\mappers\toContactDraft.ts", "TypeScript", 19, 0, 0, 0, 2, 21
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\mappers\toContactFormValue.ts", "TypeScript", 16, 0, 0, 0, 2, 18
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\mappers\toContactPatch.ts", "TypeScript", 41, 0, 0, 13, 7, 61
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\models.ts", "TypeScript", 103, 0, 0, 0, 14, 117
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\ports.ts", "TypeScript", 19, 0, 0, 5, 4, 28
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\applyContactPatch.ts", "TypeScript", 111, 0, 0, 0, 11, 122
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\buildContactDraft.ts", "TypeScript", 32, 0, 0, 0, 7, 39
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactIdentityPolicy.ts", "TypeScript", 54, 0, 0, 0, 11, 65
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactMergePolicy.ts", "TypeScript", 46, 0, 0, 0, 9, 55
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactQueries.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactReadMapper.ts", "TypeScript", 76, 0, 0, 0, 8, 84
